intitulé,réponse
Quelle est la capitale de la France,paris
Quelle est la capitale du Danemark ?,Copenhague
Combien font 5 + 9,14
Ecrire en chiffre : trois-cent-vingt-deux,322
Ecrire en chiffre : six-cent-six,606
Ecrire en chiffre : six-cent-soixante-dix-neuf,679
Ecrire en chiffre : soixante-neuf,69
Ecrire en chiffre : quatre-cent-quatre-vingts,420
Ecrire en lettre : 491,quatre-cent-quatre-vingt-onze
Ecrire en lettre : 8,huit
Ecrire en lettre : 99,quatre-vingt-dix-neuf
En quelle année l'Amérique à été découverte par les européens ?,1492
Quel fleuve passe par Paris ?,seine
Qui est Guillaume Apollinaire ?,poète
Combien y a-t-il de fautes dans cette phrase : "Si tu réssidive tu auras une sanktion ?",2
"On" ou "Ont" : Ils ... un livre neuf.,ont
"On" ou "Ont" : ... adore notre chat.,on
"On" ou "Ont" : Ils ... préparé des surprises.,ont
"On" ou "Ont" : ... arrive bientôt ?,on
A quel temps est conjugé cette phrase : "Tu comprendras plus tard.",futur
A quel temps est conjugé cette phrase : "Je vais manger chez un ami.",présent
A quel temps est conjugé cette phrase : "Qu'as tu fais ?",passé composé
A quel temps est conjugé cette phrase : "Ça a été ?",passé composé
Convertir 1548 dg en mg.,154800
Convertir 10599 hg en cg.,105990000
Convertir 10 cm en m.,0
